sid,season,name,detector,distance_threshold_km,lat_gate_degN,window_steps,zonal_threshold_km_6h,zonal_pre_max_km_6h,recurv_i,recurv_original_time_index,recurv_time,recurv_lat,recurv_lon,box_hit,min_dist_km,closest_proxy_idx,closest_proxy,nl_relevant
1993251N25293,1993,FLOYD,zonal,600.0,25.0,4,30.0,30.0,9,9,1993-09-08 15:00:00.000040448,32.06206512451172,-69.63462829589844,True,341.4169022937172,0,St. John's (Avalon Peninsula),True
1994229N11321,1994,CHRIS,zonal,600.0,25.0,4,30.0,30.0,49,49,1994-08-22 15:00:00.000040448,35.56187438964844,-62.783355712890625,True,322.68551463510795,0,St. John's (Avalon Peninsula),True
1995154N17276,1995,ALLISON,zonal,600.0,25.0,4,30.0,30.0,17,17,1995-06-05 03:00:00.000040448,28.072336196899414,-85.90950012207031,True,93.61875816976061,2,Bonavista region (east-central coast),True
1995186N32288,1995,BARRY,zonal,600.0,25.0,4,30.0,30.0,22,22,1995-07-08 00:00:00.000040448,34.0,-69.5999984741211,True,104.45346720073863,1,Corner Brook region (west coast),True
1995193N17305,1995,CHANTAL,zonal,600.0,25.0,4,30.0,30.0,49,49,1995-07-18 03:00:00.000040448,32.10751724243164,-69.41004943847656,True,383.73886697965315,0,St. John's (Avalon Peninsula),True
1995220N14329,1995,FELIX,zonal,600.0,25.0,4,30.0,30.0,78,78,1995-08-17 18:00:00.000040448,36.5,-72.19999694824219,True,167.2657007186366,0,St. John's (Avalon Peninsula),True
1995235N13311,1995,IRIS,zonal,600.0,25.0,4,30.0,30.0,94,94,1995-09-03 03:00:00.000040448,32.71204376220703,-58.826324462890625,False,546.5864468311545,0,St. John's (Avalon Peninsula),True
1995241N11333,1995,LUIS,zonal,600.0,25.0,4,30.0,30.0,94,94,1995-09-09 12:00:00.000040448,31.0,-69.0999984741211,True,123.39178000525976,0,St. John's (Avalon Peninsula),True
1996187N10326,1996,BERTHA,zonal,600.0,25.0,4,30.0,30.0,66,66,1996-07-13 03:00:00.000040448,35.7977294921875,-77.34847259521484,True,87.8012168011563,2,Bonavista region (east-central coast),True
1996233N12340,1996,EDOUARD,zonal,600.0,25.0,4,30.0,30.0,108,108,1996-09-02 06:00:00.000040448,39.79999923706055,-69.4000015258789,False,451.02793881162205,0,St. John's (Avalon Peninsula),True
1996248N15319,1996,HORTENSE,zonal,600.0,25.0,4,30.0,30.0,80,80,1996-09-13 12:00:00.000040448,29.0,-70.9000015258789,True,199.33858990628383,0,St. John's (Avalon Peninsula),True
1996279N23264,1996,JOSEPHINE,zonal,600.0,25.0,4,30.0,30.0,12,12,1996-10-06 06:00:00.000040448,25.0,-94.50000762939453,True,50.17194646347882,1,Corner Brook region (west coast),True
1997198N27267,1997,DANNY,zonal,600.0,25.0,4,30.0,30.0,53,53,1997-07-23 00:00:00.000040448,34.0,-86.0,False,458.5417854800294,0,St. John's (Avalon Peninsula),True
1998232N15312,1998,BONNIE,zonal,600.0,25.0,4,30.0,30.0,67,67,1998-08-27 18:00:00.000040448,35.400001525878906,-76.5999984741211,True,345.67368586084683,0,St. John's (Avalon Peninsula),True
1998236N13326,1998,DANIELLE,zonal,600.0,25.0,4,30.0,30.0,63,63,1998-09-01 03:00:00.000040448,31.329959869384766,-73.02253723144531,True,335.0086215932142,0,St. John's (Avalon Peninsula),True
1998244N22267,1998,EARL,zonal,600.0,25.0,4,30.0,30.0,8,8,1998-09-01 12:00:00.000040448,25.0,-93.10000610351562,True,43.4396901685187,2,Bonavista region (east-central coast),True
1999251N15314,1999,FLOYD,zonal,600.0,25.0,4,30.0,30.0,69,69,1999-09-16 06:00:00.000040448,33.70000076293945,-78.0,True,50.06613577976072,2,Bonavista region (east-central coast),True
1999255N13336,1999,GERT,zonal,600.0,25.0,4,30.0,30.0,81,81,1999-09-21 15:00:00.000040448,31.969846725463867,-62.40176010131836,True,123.11140952510983,0,St. John's (Avalon Peninsula),True
1999286N16278,1999,IRENE,zonal,600.0,25.0,4,30.0,30.0,43,43,1999-10-17 12:00:00.000040448,31.19999885559082,-79.69999694824219,True,292.2334029969811,0,St. John's (Avalon Peninsula),True
2000255N31289,2000,FLORENCE,zonal,600.0,25.0,4,30.0,30.0,35,35,2000-09-15 03:00:00.000040448,29.08954429626465,-72.6667251586914,True,230.13284801024793,0,St. John's (Avalon Peninsula),True
2000260N15308,2000,HELENE,zonal,600.0,25.0,4,30.0,30.0,55,55,2000-09-22 09:00:00.000040448,29.99970054626465,-86.98950958251953,True,275.92359036890406,0,St. John's (Avalon Peninsula),True
2000290N30289,2000,MICHAEL,zonal,600.0,25.0,4,30.0,30.0,23,23,2000-10-18 09:00:00.000040448,31.097299575805664,-70.65935516357422,True,38.6781424735377,3,Twillingate region (north-central coast),True
2000299N22291,2000,NOT_NAMED,zonal,600.0,25.0,4,30.0,30.0,20,20,2000-10-27 12:00:00.000040448,30.89999771118164,-72.5,True,348.07661530413304,1,Corner Brook region (west coast),True
2001235N18296,2001,DEAN,zonal,600.0,25.0,4,30.0,30.0,17,17,2001-08-24 15:00:00.000040448,29.509872436523438,-70.51029205322266,True,284.6007891356789,0,St. John's (Avalon Peninsula),True
2001245N13326,2001,ERIN,zonal,600.0,25.0,4,30.0,30.0,80,80,2001-09-11 18:00:00.000040448,37.79999923706055,-65.0999984741211,True,71.99245673474779,0,St. John's (Avalon Peninsula),True
2001255N26276,2001,GABRIELLE,zonal,600.0,25.0,4,30.0,30.0,19,19,2001-09-14 03:00:00.000040448,25.50224494934082,-83.89414978027344,True,129.56824910194624,0,St. John's (Avalon Peninsula),True
2001265N25296,2001,HUMBERTO,zonal,600.0,25.0,4,30.0,30.0,23,23,2001-09-24 09:00:00.000040448,34.40729522705078,-66.59471893310547,False,580.7096502085661,0,St. John's (Avalon Peninsula),True
2002252N29289,2002,GUSTAV,zonal,600.0,25.0,4,30.0,30.0,18,18,2002-09-10 18:00:00.000040448,35.0,-75.4000015258789,True,43.014544767265754,1,Corner Brook region (west coast),True
2003240N15329,2003,FABIAN,zonal,600.0,25.0,4,30.0,30.0,73,73,2003-09-05 21:00:00.000040448,32.61506271362305,-65.05299377441406,False,519.2231244228198,0,St. John's (Avalon Peninsula),True
2003269N12322,2003,KATE,zonal,600.0,25.0,4,30.0,30.0,87,87,2003-10-06 15:00:00.000040448,36.049747467041016,-55.34381866455078,False,399.26049413358925,0,St. John's (Avalon Peninsula),True
2004214N30282,2004,ALEX,zonal,600.0,25.0,4,30.0,30.0,17,17,2004-08-02 21:00:00.000040448,32.09236526489258,-78.48728942871094,False,430.1127753325542,0,St. John's (Avalon Peninsula),True
2004238N11325,2004,FRANCES,zonal,600.0,25.0,4,30.0,30.0,120,120,2004-09-08 03:00:00.000040448,33.78208923339844,-84.55033111572266,False,503.27638879554735,1,Corner Brook region (west coast),True
2004241N32282,2004,GASTON,zonal,600.0,25.0,4,30.0,30.0,25,25,2004-08-30 12:00:00.000040448,35.599998474121094,-78.69999694824219,True,170.4604456137402,0,St. John's (Avalon Peninsula),True
2005185N18273,2005,CINDY,zonal,600.0,25.0,4,30.0,30.0,20,20,2005-07-06 03:00:00.000039936,29.200000762939453,-90.10000610351562,False,337.43019409320124,1,Corner Brook region (west coast),True
