dataset_index,sid,season,name,recurv_time,box_hit,minimum_proxy_distance_km,recurv_index,recurv_lat,recurv_lon,legacy_pre_zonal_km_per_increment,legacy_post_zonal_km_per_increment
9997,1988235N15317,1988,CHRIS,1988-08-29 03:00:00,True,312.58882963931796,61,34.91972732543945,-80.93171691894531,-7.079892594593438,35.88228164759848
10122,1989212N15318,1989,DEAN,1989-08-07 15:00:00,True,12.929857427207638,59,38.41946029663086,-63.75662612915039,20.29006181180602,40.46688943139404
10143,1989243N12339,1989,GABRIELLE,1989-09-11 18:00:00,False,428.5147764728373,99,39.900001525878906,-61.29999923706055,2.8551422896129584,32.58602270414339
10148,1989254N13340,1989,HUGO,1989-09-22 15:00:00,True,278.40797701843627,100,37.101158142089844,-81.97063446044922,-49.596070671388524,31.378563350561222
10238,1990206N34285,1990,BERTHA,1990-07-29 00:00:00,True,162.46473485747353,36,30.200002670288086,-73.5999984741211,29.438560507080332,30.418756809477212
10256,1990236N13314,1990,GUSTAV,1990-08-31 12:00:00,False,503.5060274406555,58,31.700002670288086,-57.20000076293945,9.122022939370625,30.627807374542236
10280,1990279N36316,1990,LILI,1990-10-13 18:00:00,True,93.5027189270351,60,35.5,-72.0,2.587702415850572,36.61837817420019
10356,1991228N26286,1991,BOB,1991-08-18 15:00:00,True,97.85317756306982,21,32.204898834228516,-76.38697052001953,9.550528862563242,30.22872870590534
10391,1991302N44301,1991,NOT_NAMED,1991-10-31 15:00:00,False,456.2177014523786,23,37.15412139892578,-71.6507339477539,-64.41281643896833,33.636306914293456
10522,1992297N26299,1992,FRANCES,1992-10-24 00:00:00,False,440.6938701988583,12,29.0,-60.599998474121094,11.66250531279917,35.98097425204496
10606,1993251N25293,1993,FLOYD,1993-09-08 15:00:00,True,341.4169022937172,9,32.06206512451172,-69.63462829589844,-21.83546903773709,46.22998571881432
10708,1994229N11321,1994,CHRIS,1994-08-22 15:00:00,True,322.68551463510795,49,35.56187438964844,-62.783355712890625,-4.586934354140043,51.28524097134199
10785,1995154N17276,1995,ALLISON,1995-06-05 03:00:00,True,93.61875816976061,17,28.072336196899414,-85.90950012207031,2.4728275254089187,34.12590327851851
10787,1995186N32288,1995,BARRY,1995-07-08 00:00:00,True,104.45346720073863,22,34.0,-69.5999984741211,21.204182825125827,30.44859148883824
10790,1995193N17305,1995,CHANTAL,1995-07-18 03:00:00,True,383.73886697965315,49,32.10751724243164,-69.41004943847656,2.371079956217713,37.43321022849515
10801,1995220N14329,1995,FELIX,1995-08-17 18:00:00,True,167.2657007186366,78,36.5,-72.19999694824219,9.949642405265944,30.763553873556724
10810,1995235N13311,1995,IRIS,1995-09-03 03:00:00,False,546.5864468311545,94,32.71204376220703,-58.826324462890625,21.708867455145974,34.1686521844034
10815,1995241N11333,1995,LUIS,1995-09-09 12:00:00,True,123.39178000525976,94,31.0,-69.0999984741211,9.02188675073901,30.97434343295791
