dataset_index,source_points,resampled_points,source_min_dt_h,source_median_dt_h,source_max_dt_h,eligible
6561,19,10,3.0,3.0,3.0,False
6562,75,38,3.0,3.0,3.0,True
6563,37,19,3.0,3.0,3.0,False
6567,29,15,3.0,3.0,3.0,True
6618,59,30,3.0,3.0,3.0,True
6643,39,20,3.0,3.0,3.0,True
6644,55,28,3.0,3.0,3.0,True
6652,77,39,3.0,3.0,3.0,True
6662,81,41,3.0,3.0,3.0,True
6666,89,45,3.0,3.0,3.0,True
6680,79,40,3.0,3.0,3.0,True
6737,26,13,1.0,3.0,3.0,True
6756,108,54,0.5,3.0,3.0,True
6760,159,80,3.0,3.0,3.0,True
6772,41,21,3.0,3.0,3.0,True
6775,30,15,1.0,3.0,3.0,True
6777,45,23,3.0,3.0,3.0,True
6779,53,26,1.0,3.0,3.0,False
6782,156,78,1.0,3.0,3.0,True
6793,102,51,0.5,3.0,3.0,True
6796,44,22,1.0,3.0,3.0,False
6846,67,34,3.0,3.0,3.0,True
6859,39,20,3.0,3.0,3.0,True
6863,99,50,3.0,3.0,3.0,True
6866,26,13,0.5,3.0,3.0,True
6868,20,10,1.0,3.0,3.0,True
6876,177,86,1.0,3.0,3.0,True
6883,149,75,3.0,3.0,3.0,True
6887,107,54,3.0,3.0,3.0,True
6888,41,21,3.0,3.0,3.0,True
6893,95,48,3.0,3.0,3.0,True
6901,75,37,1.0,3.0,3.0,True
6906,63,31,1.0,3.0,3.0,True
6918,42,21,1.0,3.0,3.0,False
6984,58,29,1.0,3.0,3.0,True
7012,43,22,3.0,3.0,3.0,True
7017,141,69,1.0,3.0,3.0,True
7024,61,31,3.0,3.0,3.0,True
7032,139,70,3.0,3.0,3.0,True
7037,46,23,1.0,3.0,3.0,True
7039,33,17,3.0,3.0,3.0,True
7045,65,33,3.0,3.0,3.0,True
7046,27,14,3.0,3.0,3.0,True
7052,45,23,3.0,3.0,3.0,True
7093,78,39,1.0,3.0,3.0,True
7098,37,18,1.0,3.0,3.0,True
7099,31,16,3.0,3.0,3.0,True
7101,75,38,3.0,3.0,3.0,True
7107,79,40,3.0,3.0,3.0,True
7108,47,24,3.0,3.0,3.0,False
7110,17,9,3.0,3.0,3.0,True
7122,191,96,3.0,3.0,3.0,True
7129,51,26,3.0,3.0,3.0,False
7148,11,6,3.0,3.0,3.0,False
7149,167,81,1.0,3.0,3.0,True
7153,28,14,1.0,3.0,3.0,False
7154,25,13,3.0,3.0,3.0,False
7158,67,34,3.0,3.0,3.0,False
7170,79,40,3.0,3.0,3.0,True
7175,49,25,3.0,3.0,3.0,True
7178,51,26,3.0,3.0,3.0,True
7229,17,9,3.0,3.0,3.0,False
7230,25,13,3.0,3.0,3.0,True
7232,52,26,1.0,3.0,3.0,True
7233,17,9,3.0,3.0,3.0,True
7234,29,15,3.0,3.0,3.0,True
7243,33,17,3.0,3.0,3.0,False
7248,9,5,3.0,3.0,3.0,False
7260,25,13,3.0,3.0,3.0,False
7265,49,25,3.0,3.0,3.0,False
7269,25,13,3.0,3.0,3.0,False
7274,33,17,3.0,3.0,3.0,False
7279,65,33,3.0,3.0,3.0,True
7282,35,18,3.0,3.0,3.0,False
7286,137,69,3.0,3.0,3.0,True
7288,135,68,3.0,3.0,3.0,True
7289,153,76,1.0,3.0,3.0,True
7299,63,32,3.0,3.0,3.0,False
7303,53,27,3.0,3.0,3.0,False
7304,37,19,3.0,3.0,3.0,False
7305,17,9,3.0,3.0,3.0,False
7308,24,12,1.0,3.0,3.0,False
7309,17,9,3.0,3.0,3.0,False
7312,27,14,3.0,3.0,3.0,False
7315,9,5,3.0,3.0,3.0,False
7318,41,21,3.0,3.0,3.0,True
7320,17,9,3.0,3.0,3.0,False
7323,115,58,3.0,3.0,3.0,True
7325,25,13,3.0,3.0,3.0,True
7373,101,50,1.0,3.0,3.0,True
7378,69,35,3.0,3.0,3.0,True
7380,38,19,1.5,3.0,3.0,True
7383,9,5,3.0,3.0,3.0,False
7407,55,28,3.0,3.0,3.0,True
7422,43,22,3.0,3.0,3.0,True
7429,29,15,3.0,3.0,3.0,False
7432,60,30,1.0,3.0,3.0,True
7434,33,17,3.0,3.0,3.0,False
7437,19,10,3.0,3.0,3.0,False
7440,21,11,3.0,3.0,3.0,False
7441,51,26,3.0,3.0,3.0,True
7443,21,11,3.0,3.0,3.0,True
7449,68,34,1.0,3.0,3.0,True
7504,33,17,3.0,3.0,3.0,False
7505,9,5,3.0,3.0,3.0,False
7509,11,6,3.0,3.0,3.0,False
7510,25,13,3.0,3.0,3.0,False
7519,85,43,3.0,3.0,3.0,True
7520,13,7,3.0,3.0,3.0,False
7527,9,5,3.0,3.0,3.0,False
7529,33,17,3.0,3.0,3.0,True
7532,71,35,1.0,3.0,3.0,True
7533,105,53,3.0,3.0,3.0,True
7536,17,9,3.0,3.0,3.0,False
7537,33,17,3.0,3.0,3.0,False
7538,21,11,3.0,3.0,3.0,True
7540,53,27,3.0,3.0,3.0,False
7541,25,13,3.0,3.0,3.0,True
7547,44,22,1.0,3.0,3.0,True
7550,21,11,3.0,3.0,3.0,False
7553,41,21,3.0,3.0,3.0,False
7555,33,17,3.0,3.0,3.0,True
7559,33,17,3.0,3.0,3.0,True
7560,201,101,3.0,3.0,3.0,True
7561,67,34,3.0,3.0,3.0,True
7563,53,27,3.0,3.0,3.0,True
7569,29,15,3.0,3.0,3.0,True
7574,95,48,3.0,3.0,3.0,True
7579,83,42,3.0,3.0,3.0,True
7582,35,18,3.0,3.0,3.0,True
7583,93,47,3.0,3.0,3.0,True
7588,41,21,3.0,3.0,3.0,False
7638,75,38,3.0,3.0,3.0,True
7661,38,19,1.0,3.0,3.0,True
7669,33,17,3.0,3.0,3.0,True
7672,47,24,3.0,3.0,3.0,True
7674,33,17,3.0,3.0,3.0,False
7677,13,7,3.0,3.0,3.0,False
7679,141,70,1.0,3.0,3.0,True
7680,61,31,3.0,3.0,3.0,False
7686,34,17,1.0,3.0,3.0,False
7698,9,5,3.0,3.0,3.0,False
7701,81,41,3.0,3.0,3.0,False
7703,19,10,3.0,3.0,3.0,False
7707,41,20,0.5,3.0,3.0,False
7708,64,32,1.0,3.0,3.0,True
7713,27,14,3.0,3.0,3.0,True
7716,27,14,3.0,3.0,3.0,False
7717,67,34,3.0,3.0,3.0,True
7719,17,9,3.0,3.0,3.0,True
7720,175,88,3.0,3.0,3.0,True
7730,43,22,3.0,3.0,3.0,True
7734,67,34,3.0,3.0,3.0,True
7743,21,11,3.0,3.0,3.0,False
7749,83,42,3.0,3.0,3.0,True
7825,29,15,3.0,3.0,3.0,True
7828,9,5,3.0,3.0,3.0,False
7832,9,5,3.0,3.0,3.0,False
7845,33,17,3.0,3.0,3.0,True
7848,25,13,3.0,3.0,3.0,True
7853,57,29,3.0,3.0,3.0,True
7854,33,17,3.0,3.0,3.0,True
7855,57,29,3.0,3.0,3.0,False
7857,71,36,3.0,3.0,3.0,True
7863,33,17,3.0,3.0,3.0,True
7868,43,22,3.0,3.0,3.0,False
7869,77,39,3.0,3.0,3.0,True
7870,101,51,3.0,3.0,3.0,True
7871,235,118,3.0,3.0,3.0,True
7873,25,13,3.0,3.0,3.0,True
7874,33,17,3.0,3.0,3.0,False
7875,33,17,3.0,3.0,3.0,True
7876,155,78,3.0,3.0,3.0,True
7882,29,15,3.0,3.0,3.0,False
7895,65,33,3.0,3.0,3.0,True
7900,31,16,3.0,3.0,3.0,True
7911,77,39,3.0,3.0,3.0,False
7970,69,35,3.0,3.0,3.0,True
7971,15,8,3.0,3.0,3.0,False
7982,19,10,3.0,3.0,3.0,True
7984,35,18,3.0,3.0,3.0,True
7990,25,13,3.0,3.0,3.0,True
7993,19,10,3.0,3.0,3.0,False
7997,25,13,3.0,3.0,3.0,True
7999,17,9,3.0,3.0,3.0,False
8003,83,42,3.0,3.0,3.0,True
8010,57,29,3.0,3.0,3.0,True
8013,17,9,3.0,3.0,3.0,True
8014,77,39,3.0,3.0,3.0,True
8024,33,17,3.0,3.0,3.0,False
8030,17,9,3.0,3.0,3.0,True
8033,81,41,3.0,3.0,3.0,True
8035,33,17,3.0,3.0,3.0,False
8112,25,13,3.0,3.0,3.0,True
8116,25,13,3.0,3.0,3.0,True
8121,17,9,3.0,3.0,3.0,True
8124,43,22,3.0,3.0,3.0,True
8137,17,9,3.0,3.0,3.0,False
8146,17,9,3.0,3.0,3.0,False
8150,31,16,3.0,3.0,3.0,False
8154,83,42,3.0,3.0,3.0,False
8159,45,23,3.0,3.0,3.0,True
8161,49,25,3.0,3.0,3.0,True
8165,73,37,3.0,3.0,3.0,True
8171,17,9,3.0,3.0,3.0,True
8179,39,20,3.0,3.0,3.0,True
8181,17,9,3.0,3.0,3.0,True
8182,111,56,3.0,3.0,3.0,True
8193,11,6,3.0,3.0,3.0,False
8260,33,17,3.0,3.0,3.0,False
